S/N,2,21
Items,"FLUTE
","FLUTE
"
Allegro-Brio,,
Artists Academy (S) Pte. Ltd.,"Yamaha
YFL 212
Indonesia
$698
|
Yamaha
YFL 382H
Indonesia
$1,299

","Yamaha
YFL587H
China
$2,950
|
Muramatsu
GX-RHE
Japan
$4,850

"
Accent Musical Equipment Pte Ltd,"Yamaha 
YFL312
Indonesia
(Yamaha Factory)
$1,240
|
Yamaha 
YFL222
Indonesia
(Yamaha Factory)
$630
|
Aidis 
203B
Taiwan
$640


","Altus
A807
Japan
$2,850
|
Yamaha
YFL687
Japan
$3,800
|
Yamaha
YFL472
Indonesia 
(Yamaha factory)
$2,040



"
Band Concept Music Pte. Ltd.,"Jupiter
JFL700E
Taiwan
$928

",
Blessing Music & Education Pte. Ltd.,"Yamaha
YFL322
Japan
$1,195
|
JUPITER
JFL-700REC
Taiwan
$920


","Yamaha
YFL 412
Japan
$2,150
|
OVES
FL-610SE
China 
(UK Technology)
$1,720


"
Music Elements (Asia) Pte Ltd,"Trevor James
31PF-E
United Kingdom
$690
|
Trevor James
31CF-E
United Kingdom
$1,090
|
Yamaha
YFL-362H
Japan
$1,390
","Trevor James
31VF-ROE
United Kingdom
$2,290
|
Trevor James
31VF-HROE
United Kingdom
$2,590
|
Yamaha
YFL-617H
Japan
$3,890

"
Music360 Pte Ltd,,"
"
Musicgear Pte. Ltd.,"Jupiter
JFL-700RE
Taiwan 
(Made in China)
$890
|
Yamaha
YFL-372H
Japan 
(Made in Indonesia)
$1,390","Muramatsu
EX-RCE
Japan
$2,890
|
Muramatsu
GX-RCE
Japan
$4,590
|
Yamaha
YFL-577H
Japan
$3,290
|
Miyazawa
PB-202RE
Japan
$2,950"
Swee Lee Holdings Pte Ltd,"Pearl Flutes
Quantz 505RBE-1R
Japan 
(produce in Taiwan)
$699
|
Pearl Flutes
Quantz 665RBE-1R
Japan 
(produce in Taiwan)
$1,065
|
Pearl Flutes
Dolce 695RBE-2R
Japan 
(produce in Taiwan)
$1,530


","Pearl Flutes
Cantabile
8800
Japan 
$4,874
|
Pearl Flutes
Elegante
795-RBE-
2RB
Japan
(Produced
in Taiwan) 
$2,239"
The Band World,"Miyazawa
MJ-101REH
Japan 
(Made in China)
$988
|
Miyazawa
MJ-101SRE
Japan
(Made in China)
$1,450
","Miyazawa
PB-402RE(YB)
Japan
$3,980
|
Miyazawa
PB-602RE
Japan
$4,420

"
Yamaha Music (Asia) Pte Ltd,"Yamaha 
YFL272
Silver Plated
Made in Yamaha 
Factory in Indonesia
$935
|
Yamaha 
YFL372
Silver Plated
Made in Yamaha 
Factory in Indonesia
$1,260
|
Yamaha 
YFL382
Silver Plated
Made in Yamaha 
Factory in Indonesia
$1,240
","Yamaha
YFL687H
Japan
$3,680
|
Yamaha
YFL677
Silver Plated
Japan
$3,300
|
Yamaha
YFL472H
Silver Plated
Made in Yamaha
Factory in Indonesia
$2,380"
